id,username,email,first_name,last_name,addresses,age,gender,persona,discount_persona
1,user1,mark.johnson@example.com,Mark,Johnson,"[{'first_name': 'Mark', 'last_name': 'Johnson', 'address1': '51161 Maurice Fort', 'address2': '', 'country': 'US', 'city': 'South Davidside', 'state': 'HI', 'zipcode': '96721', 'default': True}]",31,M,furniture_homedecor_housewares,lower_priced_products
2,user2,kristen.calderon@example.com,Kristen,Calderon,"[{'first_name': 'Kristen', 'last_name': 'Calderon', 'address1': '871 Callahan Dale', 'address2': '', 'country': 'US', 'city': 'New Candacebury', 'state': 'TX', 'zipcode': '79337', 'default': True}]",58,F,tools_housewares_apparel,discount_indifferent
3,user3,joseph.maddox@example.com,Joseph,Maddox,"[{'first_name': 'Joseph', 'last_name': 'Maddox', 'address1': '03911 Cabrera Wall Suite 227', 'address2': '', 'country': 'US', 'city': 'Martinmouth', 'state': 'AL', 'zipcode': '36246', 'default': True}]",43,M,floral_beauty_jewelry,lower_priced_products
4,user4,jay.lewis@example.com,Jay,Lewis,"[{'first_name': 'Jay', 'last_name': 'Lewis', 'address1': '9973 Aguirre Expressway', 'address2': '', 'country': 'US', 'city': 'South Rodneyview', 'state': 'OR', 'zipcode': '97747', 'default': True}]",38,M,books_apparel_homedecor,discount_indifferent
5,user5,anthony.valdez@example.com,Anthony,Valdez,"[{'first_name': 'Anthony', 'last_name': 'Valdez', 'address1': '60260 Baker Spurs', 'address2': '', 'country': 'US', 'city': 'West Susan', 'state': 'AR', 'zipcode': '72739', 'default': True}]",24,M,instruments_books_electronics,discount_indifferent
6,user6,matthew.tucker@example.com,Matthew,Tucker,"[{'first_name': 'Matthew', 'last_name': 'Tucker', 'address1': '079 Ferrell Circles Apt. 425', 'address2': '', 'country': 'US', 'city': 'Suarezbury', 'state': 'HI', 'zipcode': '96741', 'default': True}]",24,M,furniture_homedecor_housewares,lower_priced_products
7,user7,jeffrey.daniels@example.com,Jeffrey,Daniels,"[{'first_name': 'Jeffrey', 'last_name': 'Daniels', 'address1': '6923 Cherry Station', 'address2': '', 'country': 'US', 'city': 'Johnsonchester', 'state': 'WY', 'zipcode': '82681', 'default': True}]",20,M,books_apparel_homedecor,discount_indifferent
8,user8,rachel.jenkins@example.com,Rachel,Jenkins,"[{'first_name': 'Rachel', 'last_name': 'Jenkins', 'address1': '48465 Kenneth Creek Apt. 629', 'address2': '', 'country': 'US', 'city': 'Richardfort', 'state': 'OR', 'zipcode': '97312', 'default': True}]",50,F,electronics_outdoors_footwear,discount_indifferent
9,user9,dustin.jordan@example.com,Dustin,Jordan,"[{'first_name': 'Dustin', 'last_name': 'Jordan', 'address1': '3676 Diana Avenue', 'address2': '', 'country': 'US', 'city': 'Carrilloland', 'state': 'NC', 'zipcode': '27876', 'default': True}]",38,M,books_apparel_homedecor,all_discounts
10,user10,colleen.brock@example.com,Colleen,Brock,"[{'first_name': 'Colleen', 'last_name': 'Brock', 'address1': '2236 Mccarthy Centers', 'address2': '', 'country': 'US', 'city': 'South Robert', 'state': 'MN', 'zipcode': '55424', 'default': True}]",42,F,groceries_seasonal_tools,discount_indifferent
11,user11,sandra.price@example.com,Sandra,Price,"[{'first_name': 'Sandra', 'last_name': 'Price', 'address1': '627 Hooper Mountains', 'address2': '', 'country': 'US', 'city': 'Vargasfurt', 'state': 'WV', 'zipcode': '25044', 'default': True}]",18,F,floral_beauty_jewelry,discount_indifferent
12,user12,maria.taylor@example.com,Maria,Taylor,"[{'first_name': 'Maria', 'last_name': 'Taylor', 'address1': '19374 Jackson Place', 'address2': '', 'country': 'US', 'city': 'Dannyfort', 'state': 'AZ', 'zipcode': '85638', 'default': True}]",61,F,floral_beauty_jewelry,all_discounts
13,user13,ashley.johnson@example.com,Ashley,Johnson,"[{'first_name': 'Ashley', 'last_name': 'Johnson', 'address1': '35454 Haynes Gardens Apt. 313', 'address2': '', 'country': 'US', 'city': 'Tracymouth', 'state': 'ND', 'zipcode': '58708', 'default': True}]",48,F,electronics_outdoors_footwear,discount_indifferent
14,user14,karen.joseph@example.com,Karen,Joseph,"[{'first_name': 'Karen', 'last_name': 'Joseph', 'address1': '8941 Phillips Island', 'address2': '', 'country': 'US', 'city': 'New David', 'state': 'AL', 'zipcode': '35097', 'default': True}]",26,F,floral_beauty_jewelry,all_discounts
15,user15,william.tran@example.com,William,Tran,"[{'first_name': 'William', 'last_name': 'Tran', 'address1': '9386 Scott Throughway Suite 499', 'address2': '', 'country': 'US', 'city': 'Port Corymouth', 'state': 'CT', 'zipcode': '06321', 'default': True}]",25,M,seasonal_furniture_floral,lower_priced_products
16,user16,christine.guerrero@example.com,Christine,Guerrero,"[{'first_name': 'Christine', 'last_name': 'Guerrero', 'address1': '994 Taylor Grove', 'address2': '', 'country': 'US', 'city': 'East Amber', 'state': 'DC', 'zipcode': '20029', 'default': True}]",25,F,housewares_floral_seasonal,lower_priced_products
17,user17,bobby.williams@example.com,Bobby,Williams,"[{'first_name': 'Bobby', 'last_name': 'Williams', 'address1': '16808 Brian Motorway', 'address2': '', 'country': 'US', 'city': 'Vernonview', 'state': 'KS', 'zipcode': '66107', 'default': True}]",29,M,apparel_footwear_accessories,lower_priced_products
18,user18,dalton.dunn@example.com,Dalton,Dunn,"[{'first_name': 'Dalton', 'last_name': 'Dunn', 'address1': '04499 Burns Curve Suite 558', 'address2': '', 'country': 'US', 'city': 'Bennettside', 'state': 'MI', 'zipcode': '49781', 'default': True}]",36,M,seasonal_furniture_floral,discount_indifferent
19,user19,colin.terry@example.com,Colin,Terry,"[{'first_name': 'Colin', 'last_name': 'Terry', 'address1': '780 Young Rapid', 'address2': '', 'country': 'US', 'city': 'East Christopher', 'state': 'HI', 'zipcode': '96726', 'default': True}]",33,M,floral_beauty_jewelry,all_discounts
20,user20,paige.padilla@example.com,Paige,Padilla,"[{'first_name': 'Paige', 'last_name': 'Padilla', 'address1': '482 Sierra Ways', 'address2': '', 'country': 'US', 'city': 'Port Hannah', 'state': 'DC', 'zipcode': '20030', 'default': True}]",28,F,beauty_accessories_instruments,lower_priced_products
21,user21,sarah.gonzalez@example.com,Sarah,Gonzalez,"[{'first_name': 'Sarah', 'last_name': 'Gonzalez', 'address1': '42104 Johnson Islands', 'address2': '', 'country': 'US', 'city': 'Port Markbury', 'state': 'MS', 'zipcode': '39012', 'default': True}]",39,F,outdoors_instruments_groceries,all_discounts
22,user22,bonnie.ryan@example.com,Bonnie,Ryan,"[{'first_name': 'Bonnie', 'last_name': 'Ryan', 'address1': '4965 Jesus Brooks Suite 859', 'address2': '', 'country': 'US', 'city': 'North Madisonside', 'state': 'NE', 'zipcode': '68039', 'default': True}]",23,F,housewares_floral_seasonal,lower_priced_products
23,user23,marie.wilson@example.com,Marie,Wilson,"[{'first_name': 'Marie', 'last_name': 'Wilson', 'address1': '139 Williams Hill Suite 931', 'address2': '', 'country': 'US', 'city': 'Spencerstad', 'state': 'AK', 'zipcode': '99917', 'default': True}]",28,F,instruments_books_electronics,lower_priced_products
24,user24,sergio.murphy@example.com,Sergio,Murphy,"[{'first_name': 'Sergio', 'last_name': 'Murphy', 'address1': '1249 Kelley Heights', 'address2': '', 'country': 'US', 'city': 'Schmidtview', 'state': 'VT', 'zipcode': '05310', 'default': True}]",31,M,tools_housewares_apparel,discount_indifferent
25,user25,jessica.mcguire@example.com,Jessica,Mcguire,"[{'first_name': 'Jessica', 'last_name': 'Mcguire', 'address1': '8851 Morgan Views Apt. 049', 'address2': '', 'country': 'US', 'city': 'North William', 'state': 'NC', 'zipcode': '27322', 'default': True}]",33,F,footwear_jewelry_furniture,all_discounts
26,user26,matthew.walker@example.com,Matthew,Walker,"[{'first_name': 'Matthew', 'last_name': 'Walker', 'address1': '90147 Tucker Loaf', 'address2': '', 'country': 'US', 'city': 'Lake Daniel', 'state': 'TX', 'zipcode': '79024', 'default': True}]",45,M,homedecor_electronics_outdoors,discount_indifferent
27,user27,brian.gregory@example.com,Brian,Gregory,"[{'first_name': 'Brian', 'last_name': 'Gregory', 'address1': '060 Christian Harbor', 'address2': '', 'country': 'US', 'city': 'West Danielle', 'state': 'MT', 'zipcode': '59297', 'default': True}]",25,M,apparel_footwear_accessories,all_discounts
28,user28,ashley.smith@example.com,Ashley,Smith,"[{'first_name': 'Ashley', 'last_name': 'Smith', 'address1': '231 James Pines', 'address2': '', 'country': 'US', 'city': 'Riosville', 'state': 'SC', 'zipcode': '29792', 'default': True}]",35,F,electronics_outdoors_footwear,discount_indifferent
29,user29,mark.marshall@example.com,Mark,Marshall,"[{'first_name': 'Mark', 'last_name': 'Marshall', 'address1': '182 Jasmine Ways Suite 925', 'address2': '', 'country': 'US', 'city': 'East Riley', 'state': 'NH', 'zipcode': '03377', 'default': True}]",38,M,homedecor_electronics_outdoors,discount_indifferent
30,user30,meghan.williams@example.com,Meghan,Williams,"[{'first_name': 'Meghan', 'last_name': 'Williams', 'address1': '816 Smith Groves Suite 573', 'address2': '', 'country': 'US', 'city': 'North Chrishaven', 'state': 'KY', 'zipcode': '40417', 'default': True}]",20,F,footwear_jewelry_furniture,lower_priced_products
31,user31,katie.fernandez@example.com,Katie,Fernandez,"[{'first_name': 'Katie', 'last_name': 'Fernandez', 'address1': '39240 Sawyer Oval', 'address2': '', 'country': 'US', 'city': 'Lake Melissaburgh', 'state': 'MT', 'zipcode': '59782', 'default': True}]",38,F,groceries_seasonal_tools,all_discounts
32,user32,christopher.cole@example.com,Christopher,Cole,"[{'first_name': 'Christopher', 'last_name': 'Cole', 'address1': '10432 Acosta Mountain', 'address2': '', 'country': 'US', 'city': 'West Kevintown', 'state': 'TN', 'zipcode': '37869', 'default': True}]",24,M,tools_housewares_apparel,lower_priced_products
33,user33,margaret.dean@example.com,Margaret,Dean,"[{'first_name': 'Margaret', 'last_name': 'Dean', 'address1': '2772 Brown Springs', 'address2': '', 'country': 'US', 'city': 'West Bradley', 'state': 'TN', 'zipcode': '37418', 'default': True}]",20,F,books_apparel_homedecor,lower_priced_products
34,user34,stacey.stewart@example.com,Stacey,Stewart,"[{'first_name': 'Stacey', 'last_name': 'Stewart', 'address1': '96275 Jessica Unions Suite 640', 'address2': '', 'country': 'US', 'city': 'New Michaelfort', 'state': 'MD', 'zipcode': '21139', 'default': True}]",57,F,accessories_groceries_books,discount_indifferent
